Year,Cloud cover,potential evapo-transpiration,Precipitation rate,Minimum 2m temperature,Mean 2m temperature,Maximum 2m temperature,Vapour pressure,Frost days,Wet days,cld_MAM,cld_JJA,cld_SON,cld_DJF,dtr_MAM,dtr_JJA,dtr_SON,dtr_DJF,frs_MAM,frs_JJA,frs_SON,frs_DJF,pet_MAM,pet_JJA,pet_SON,pet_DJF,pre_MAM,pre_JJA,pre_SON,pre_DJF,tmn_MAM,tmn_JJA,tmn_SON,tmn_DJF,tmp_MAM,tmp_JJA,tmp_SON,tmp_DJF,tmx_MAM,tmx_JJA,tmx_SON,tmx_DJF,vap_MAM,vap_JJA,vap_SON,vap_DJF,wet_MAM,wet_JJA,wet_SON,wet_DJF,wind_speed_10m_max
2003.0,66.89999999999999,2.025,52.31666666666666,6.15,10.391666666666667,14.666666666666666,10.291666666666666,84.3,152.2,62.1,58.3,69.4,84.3,9.7,10.4,8.1,5.1,19.0,0.0,13.8,40.2,2.3,3.8,1.4,0.6,147.1,117.9,185.4,266.0,5.1,13.6,6.1,1.6,9.9,18.8,10.1,4.1,14.8,24.0,14.2,6.7,9.0,15.4,10.1,7.1,34.8,29.1,44.1,53.3,19.6235
2004.0,75.86666666666666,1.7416666666666665,71.15833333333333,6.516666666666667,10.191666666666666,13.925,10.466666666666669,69.8,190.2,71.6,72.2,74.5,82.3,8.8,8.8,7.0,4.8,18.8,0.0,9.2,42.2,2.1,3.0,1.3,0.5,101.7,307.9,211.0,169.7,4.9,12.3,7.5,1.2,9.2,16.7,10.9,3.6,13.7,21.2,14.5,6.1,9.0,14.9,11.0,6.9,35.5,57.5,48.1,42.4,21.209513
2005.0,73.575,1.741666666666667,67.69166666666668,6.641666666666667,10.358333333333334,14.108333333333334,10.691666666666668,67.1,182.2,72.4,69.6,69.9,83.9,8.7,9.1,7.4,4.6,19.0,0.0,7.3,50.4,2.0,3.1,1.3,0.5,155.7,279.2,195.4,132.8,4.9,12.0,8.2,0.2,9.2,16.6,11.9,2.5,13.6,21.1,15.7,4.8,9.3,14.5,12.1,6.5,46.8,44.6,41.1,40.1,20.577463
2006.0,73.66666666666667,1.8583333333333332,61.96666666666667,6.925000000000001,10.716666666666669,14.516666666666666,10.95,73.1,172.9,75.1,60.6,74.5,87.0,8.2,9.9,7.4,4.9,26.2,0.0,3.2,20.5,1.9,3.5,1.5,0.7,187.4,230.9,175.3,268.7,4.2,12.6,9.9,4.3,8.3,17.5,13.6,6.7,12.5,22.5,17.3,9.2,8.9,15.0,13.0,8.3,53.2,36.0,46.7,57.0,21.1634
2007.0,75.79166666666667,1.775,74.41666666666667,7.274999999999999,10.983333333333334,14.725,10.916666666666666,49.3,195.6,63.4,73.9,79.9,79.8,9.6,8.4,7.2,5.4,11.3,0.0,11.2,31.7,2.4,2.9,1.1,0.7,145.8,292.8,190.8,198.8,6.4,12.7,6.6,2.7,11.1,16.8,10.2,5.4,15.9,21.1,13.8,8.1,10.0,15.1,10.7,7.4,37.8,55.8,46.4,45.0,21.848598
2008.0,74.375,1.875,69.63333333333334,6.766666666666667,10.541666666666666,14.366666666666667,10.408333333333331,62.8,192.1,69.0,69.6,80.2,82.3,8.9,9.1,7.0,4.9,19.1,0.0,9.0,51.9,2.3,3.2,1.2,0.5,167.0,255.6,242.9,145.6,5.3,12.6,6.9,-0.0,9.7,17.1,10.3,2.4,14.2,21.7,13.9,4.9,9.1,14.7,10.6,6.4,46.6,52.7,50.4,41.8,21.88445
2009.0,72.76666666666667,1.9,61.99166666666667,6.458333333333333,10.358333333333333,14.258333333333333,10.383333333333333,73.7,188.7,66.1,61.9,79.1,86.6,9.3,9.7,7.2,4.8,14.8,0.0,5.1,60.0,2.3,3.5,1.4,0.4,143.7,183.7,228.8,195.8,5.8,12.4,8.0,-1.3,10.4,17.2,11.6,1.1,15.1,22.0,15.2,3.5,9.6,14.3,11.2,5.9,35.1,43.6,58.5,52.3,21.14434
2010.0,75.25,1.8,66.25833333333334,5.133333333333334,8.924999999999999,12.733333333333334,9.675,102.8,178.0,67.9,63.5,81.1,86.5,8.7,9.8,7.0,4.9,23.3,0.0,11.5,52.7,2.1,3.6,1.1,0.4,127.1,251.8,254.2,170.9,4.0,12.6,6.4,-0.4,8.4,17.5,9.9,2.1,12.8,22.4,13.5,4.5,8.2,14.5,10.6,6.5,33.2,44.1,52.9,46.9,20.197592
2011.0,72.41666666666667,1.875,64.22500000000001,6.816666666666666,10.758333333333333,14.75,10.533333333333331,60.2,167.6,57.1,74.5,72.2,81.8,10.3,8.7,7.8,5.2,16.1,0.0,8.7,41.2,2.7,3.0,1.3,0.6,54.6,312.1,140.8,255.3,5.6,12.0,7.5,1.3,10.8,16.3,11.4,3.9,15.9,20.7,15.3,6.5,9.2,13.9,11.6,7.0,22.0,54.5,32.2,58.9,21.157066
2012.0,75.14166666666667,1.775,69.70833333333333,6.283333333333334,10.083333333333334,13.941666666666668,10.291666666666666,71.8,201.3,70.7,70.3,77.6,87.3,9.1,8.9,7.4,4.5,16.5,0.0,9.5,47.3,2.2,3.1,1.3,0.5,127.1,262.9,214.1,215.0,5.5,12.2,6.8,0.6,10.0,16.6,10.5,2.8,14.6,21.1,14.3,5.1,9.4,14.4,10.5,6.5,34.4,55.3,52.6,60.2,21.184385
2013.0,76.10000000000001,1.8,60.19166666666666,6.041666666666667,9.666666666666666,13.35,10.008333333333333,83.2,181.0,75.7,62.5,80.8,82.8,8.0,9.9,6.8,5.5,32.5,0.0,7.4,27.8,1.9,3.5,1.2,0.8,139.1,146.4,278.6,181.6,3.0,12.4,7.7,3.2,7.0,17.3,11.0,5.9,11.0,22.2,14.5,8.7,7.7,14.7,11.2,7.6,40.8,31.0,60.0,56.1,21.113268
