 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1996     6.9    51.0    15.8     7.4    49.2    26.2    51.0   103.3    49.6    69.9   118.3    39.7    72.3   180.5   237.9   120.2   588.3
 1997     4.7    75.8    30.0    29.5    78.6    98.6    55.5    50.4    28.4    78.5    45.5    85.1   138.1   204.5   152.3   188.0   660.5
 1998    84.8    18.1    85.8    88.9    35.5   127.2    76.3    69.3   112.5   161.5    87.2    86.0   210.2   272.9   361.2   235.3  1033.2
 1999    87.5    61.8    79.1    50.5    38.1    92.9    41.8   102.3    76.6    65.9    59.2   152.9   167.7   237.0   201.6   286.5   908.4
 2000    49.2    84.4    67.3    45.4    80.7    40.6    96.3    46.1    77.5   107.1   100.6    71.7   193.5   182.9   285.2   211.8   866.9
 2001    66.5    73.6    70.2    77.2    34.7    56.0    76.8    91.6   156.1    54.4    89.0    76.3   182.1   224.4   299.4   264.3   922.3
 2002    67.8   120.3    41.6    48.8    46.2    66.7    96.8   118.2    40.4    92.4    90.4    81.5   136.5   281.7   223.1   176.6   910.9
 2003    77.9    17.2    26.3    40.1    80.6    40.3    51.1    26.5    53.0    79.7    52.7    82.4   147.1   117.9   185.4   266.0   627.8
 2004   113.5    70.1    33.3    36.0    32.5    78.9   103.8   125.1    75.8    61.4    73.8    49.7   101.7   307.9   211.0   169.7   853.9
 2005    57.9    62.1    47.0    55.2    53.6    51.9   126.0   101.4    59.7    59.1    76.7    61.7   155.7   279.2   195.4   132.8   812.2
 2006    19.1    51.9    64.7    39.6    83.0    40.0    23.7   167.1    20.0    80.2    75.1    79.2   187.4   230.9   175.3   268.7   743.8
 2007   112.0    77.6    62.3     0.5    83.0    97.2   136.7    58.8    76.3    39.2    75.4    74.0   145.8   292.8   190.8   198.8   893.0
 2008    85.8    39.1   101.6    36.5    28.9    48.3   105.3   101.9    65.0   103.0    75.0    45.2   167.0   255.6   242.9   145.6   835.6
 2009    49.0    51.4    59.6    23.7    60.3    57.0    92.8    33.8    32.3    76.4   120.1    87.5   143.7   183.7   228.8   195.8   744.0
 2010    45.8    62.5    46.8    20.7    59.6    32.9    64.7   154.2    87.6    64.7   101.9    53.7   127.1   251.8   254.2   170.9   795.2
 2011    70.7    46.5    14.8    11.8    27.9    82.5   117.3   112.2    69.7    63.4     7.7   146.2    54.6   312.1   140.8   255.3   770.8
 2012    87.5    21.7    18.6    52.7    55.7    86.9   110.8    65.1    56.0   108.7    49.4   123.4   127.1   262.9   214.1   215.0   836.6
 2013    54.3    37.3    32.7    21.8    84.7    62.8    43.6    40.0    94.0    93.6    91.0    66.5   139.1   146.4   278.6   181.6   722.2
 2014    63.7    51.4    22.6    40.4    81.6    52.0    89.7   110.5    24.2    69.5    42.9    94.3   144.6   252.2   136.6   245.8   742.8
 2015   105.7    45.8    52.1    23.4    49.1    35.6    90.1   115.2    94.1    38.6   119.2    51.6   124.5   240.8   251.9   226.7   820.4
 2016    99.1    76.0    52.7    57.3    50.1   113.9    59.8    61.4    32.2    56.7    76.7    29.0   160.1   235.1   165.6   146.8   764.8
 2017    57.9    59.9    51.9    26.4    33.0    60.4   107.3    77.7   116.9    72.9    89.7   114.7   111.3   245.4   279.4   232.8   868.6
 2018    96.1    22.0    56.5    67.0    40.4    37.4    30.0    65.9    46.8    41.4    29.3    99.0   163.8   133.4   117.4   205.2   631.8
 2019    63.5    42.7    93.4    25.4    41.8    85.1    48.2    57.0    95.0   103.6    85.3    65.3   160.6   190.3   283.9   245.3   806.2
 2020    60.1   119.9    49.4    15.0    16.8    84.9    66.5    71.2    71.7   102.5    37.3    84.7    81.2   222.6   211.4   228.1   780.0
 2021    94.4    49.0    46.7    32.8    90.4    92.8    94.4    83.3    31.4    94.3    66.8    76.4   169.8   270.6   192.4   221.3   852.7
 2022    55.4    89.4    15.5    43.1    46.3    78.9    25.6    24.2   114.5    43.2    85.2    74.2   104.9   128.7   242.9   198.9   695.7
 2023   101.9    22.7    96.4    63.8    37.4    25.5   118.9   108.8    59.7   140.8   144.4   112.1   197.6   253.2   344.8  -999.0  1032.4
